#Description#
#FrameIndex, index_x, index_y, Features, Sammed Features, Correspondenz Pairs, Association Variance, Summed Maximal Value, Fixed Nodes, Rotation Angle#
24 0 0 0 0 0 0.02 -1 0 0 
25 0 0 0 0 0 0.02 -1 0 0 
25 0 0 0 0 0 0.02 -1 0 0 
27 0 0 0 0 0 0.02 -1 0 0 
27 0 0 0 0 0 0.02 -1 0 0 
29 0 0 0 0 0 0.02 -1 0 0 
29 0 0 0 0 0 0.02 -1 0 0 
30 0 0 0 0 0 0.02 -1 0 0 
31 0 0 0 0 0 0.02 -1 0 0 
32 0 0 0 0 0 0.02 -1 0 0 
33 0 0 0 0 0 0.02 -1 0 0 
34 0 0 0 0 0 0.02 -1 0 0 
35 0 0 0 0 0 0.02 -1 0 0 
36 0 0 0 0 0 0.02 -1 0 0 
38 77 161 5 5 0 0.02 -1 0 0 
39 71 150 7 7 3 0.02 2.92265 0 24.7013 
40 76 145 8 8 5 0.02 4.95904 0 141.133 
41 79 141 8 8 3 0.02 2.89513 0 163.746 
42 77 137 9 9 3 0.02 2.00749 0 188.082 
43 76 136 8 8 3 0.02 2.72918 0 178.118 
44 71 133 9 9 3 0.02 3 0 183.85 
45 72 127 8 8 8 0.02 6.91346 0 191.385 
46 71 122 9 9 5 0.02 4.3245 0 173.573 
47 75 116 9 9 5 0.02 4.3104 0 183.642 
48 81 111 8 8 8 0.02 0 0 0 
49 80 107 8 8 8 0.02 0 0 0 
50 75 105 8 8 8 0.02 0 0 0 
51 70 104 9 8 5 0.02 4.92105 0 180.496 
52 69 102 9 8 4 0.02 4.08643 0 182.81 
53 70 103 9 8 4 0.02 3.99974 0 185.658 
54 71 103 8 8 5 0.02 4.03308 0 176.963 
55 71 102 8 8 4 0.02 3.8451 0 185.553 
56 72 101 8 8 4 0.02 3.0051 0 169.434 
57 72 100 9 8 8 0.02 7.99853 0 4.7627 
58 72 100 9 8 8 0.02 8 0 1.94894 
59 72 99 9 8 8 0.02 8 0 0.730981 
60 72 99 8 8 8 0.02 8 0 0.602938 
61 72 99 8 8 8 0.02 8 0 1.75697 
62 72 99 9 8 8 0.02 8 0 0.863639 
63 72 98 9 8 8 0.02 8 0 1.22137 
64 72 98 9 8 8 0.02 8 0 2.09615 
65 72 97 9 8 8 0.02 7.99999 0 0.42265 
66 72 97 9 8 8 0.02 8 0 1.87142 
67 72 97 9 8 8 0.02 8 0 0.880707 
68 72 98 9 8 8 0.02 8 0 2.42863 
69 72 98 9 8 8 0.02 8 0 1.04132 
70 72 98 9 8 8 0.02 8 0 3.42003 
71 72 98 8 8 8 0.02 8 0 0.980874 
72 72 98 9 8 8 0.02 8 2 1.14386 
