#Description#
#FrameIndex, index_x, index_y, Features, Sammed Features#
20 0 0 0 0 
21 0 0 0 0 
22 0 0 0 0 
24 0 0 0 0 
24 0 0 0 0 
26 0 0 0 0 
27 0 0 0 0 
27 0 0 0 0 
28 0 0 0 0 
30 0 0 0 0 
30 0 0 0 0 
32 0 0 0 0 
32 0 0 0 0 
34 0 0 0 0 
34 0 0 0 0 
36 0 0 0 0 
36 0 0 0 0 
38 0 0 0 0 
39 436 820 5 5 
41 660 890 7 7 
42 727 989 8 8 
43 659 838 7 7 
45 764 858 8 8 
46 763 822 8 8 
47 640 686 7 7 
48 631 647 7 7 
49 722 687 8 8 
50 833 767 9 9 
51 840 779 9 9 
52 841 788 9 9 
53 723 701 8 8 
54 611 617 7 7 
55 606 613 7 7 
56 701 672 8 8 
57 700 672 8 8 
58 687 656 8 8 
59 782 719 9 9 
60 585 501 7 7 
61 590 485 7 7 
62 664 508 8 8 
63 805 543 9 9 
64 596 429 7 7 
65 707 462 8 8 
66 599 398 7 7 
67 712 425 8 8 
68 710 397 8 8 
69 710 372 8 8 
70 811 397 9 9 
71 707 342 8 8 
72 711 320 8 8 
73 712 306 8 8 
74 723 268 8 8 
75 755 252 8 8 
76 646 217 7 7 
77 713 241 8 8 
78 719 229 8 8 
79 793 260 9 9 
80 717 247 8 8 
81 719 245 8 8 
82 711 270 8 8 
83 776 323 9 9 
84 703 301 8 8 
85 633 299 7 7 
86 699 365 8 8 
87 694 385 8 8 
88 586 360 7 7 
89 765 479 9 9 
90 661 455 8 8 
91 592 444 7 7 
92 586 480 7 7 
93 654 557 8 8 
94 585 512 7 7 
95 585 546 7 7 
96 585 565 7 7 
97 591 582 7 7 
98 598 602 7 7 
99 721 706 8 8 
100 815 829 9 9 
101 607 660 7 7 
102 697 751 8 8 
103 759 832 9 9 
104 582 662 7 7 
105 679 750 8 8 
106 560 660 7 7 
107 525 665 7 7 
108 500 667 7 7 
109 526 745 8 8 
110 537 752 8 8 
111 513 751 8 8 
112 459 651 7 7 
113 443 648 7 7 
114 430 644 7 7 
115 535 816 9 9 
116 334 557 6 6 
117 395 643 7 7 
118 374 640 7 7 
119 362 642 7 7 
120 348 641 7 7 
121 338 638 7 7 
122 328 636 7 7 
123 322 636 7 7 
124 305 641 7 7 
125 316 733 8 8 
126 294 637 7 7 
127 286 637 7 7 
128 298 730 8 8 
129 341 740 8 8 
130 279 637 7 7 
131 280 632 7 7 
132 313 722 8 8 
133 329 714 8 8 
134 328 623 7 7 
135 419 725 8 8 
136 449 724 8 8 
137 451 712 8 8 
138 492 731 8 8 
139 499 713 8 8 
140 559 715 8 8 
141 592 713 8 8 
142 704 788 9 9 
143 624 711 8 8 
144 539 630 7 7 
145 655 718 8 8 
146 670 718 8 8 
147 582 632 7 7 
148 591 632 7 7 
149 648 627 7 7 
150 632 616 7 7 
151 751 709 8 8 
152 752 712 8 8 
153 855 786 9 9 
154 751 710 8 8 
155 767 717 8 8 
156 924 785 9 9 
157 756 619 7 7 
158 739 617 7 7 
159 979 775 9 9 
160 935 693 8 8 
161 1051 765 9 9 
162 972 686 8 8 
163 879 600 7 7 
164 999 690 8 8 
165 1027 683 8 8 
166 1037 697 8 8 
167 1160 772 9 9 
168 1176 770 9 9 
169 1068 697 8 8 
170 1083 699 8 8 
171 1229 773 9 9 
172 1115 701 8 8 
173 1256 776 9 9 
174 1016 615 7 7 
175 1143 703 8 8 
176 1149 689 8 8 
177 1151 701 8 8 
178 1155 696 8 8 
179 1162 696 8 8 
180 1165 695 8 8 
181 1165 696 8 8 
182 1154 692 8 8 
183 1246 766 9 9 
184 1089 694 8 8 
185 1044 697 8 8 
186 880 612 7 7 
187 850 612 7 7 
188 827 609 7 7 
189 879 693 8 8 
190 763 603 7 7 
191 743 600 7 7 
192 795 678 8 8 
193 667 596 7 7 
194 646 598 7 7 
195 605 607 7 7 
196 767 762 9 9 
197 576 605 7 7 
198 591 609 7 7 
199 805 769 9 9 
200 712 699 8 8 
201 713 696 8 8 
202 712 694 8 8 
203 811 766 9 9 
204 700 688 8 8 
205 701 686 8 8 
206 703 685 8 8 
207 708 687 8 8 
208 594 608 8 7 
209 699 689 8 8 
210 589 610 7 7 
211 583 612 7 7 
212 582 613 8 7 
213 577 612 8 7 
214 572 614 7 7 
215 682 693 8 8 
216 574 609 8 7 
217 626 694 9 8 
218 574 611 8 7 
219 568 611 7 7 
220 615 701 9 8 
221 559 614 9 7 
222 752 746 10 9 
223 547 606 8 7 
224 581 681 9 8 
225 461 511 7 6 
226 355 359 6 4 
227 258 296 5 3 
228 468 515 7 6 
229 362 368 6 4 
230 650 674 9 8 
231 642 683 9 8 
232 533 634 8 7 
233 529 649 8 7 
234 531 651 7 7 
235 531 649 8 7 
236 531 648 7 7 
237 531 647 7 7 
238 530 651 7 7 
239 533 656 7 7 
240 533 656 7 7 
241 538 656 7 7 
242 540 656 7 7 
243 549 648 7 7 
244 558 641 8 7 
245 567 634 7 7 
246 570 626 7 7 
247 574 621 7 7 
248 576 616 7 7 
249 581 599 7 7 
250 581 596 7 7 
251 696 661 8 8 
252 581 573 7 7 
253 905 785 10 10 
254 698 660 8 8 
255 642 571 7 7 
256 537 491 6 6 
257 538 488 6 6 
258 726 633 8 8 
259 755 619 8 8 
260 646 558 7 7 
261 652 566 7 7 
262 728 636 8 8 
263 657 564 7 7 
264 659 558 7 7 
265 624 556 7 7 
266 659 574 7 7 
267 737 656 8 8 
268 665 571 7 7 
269 741 657 8 8 
270 739 659 8 8 
271 662 573 7 7 
272 556 489 6 6 
273 553 483 6 6 
274 742 630 8 8 
275 838 745 9 9 
276 735 638 8 8 
277 712 643 8 8 
278 731 660 9 8 
279 736 676 8 8 
280 628 585 7 7 
281 938 863 10 10 
282 804 768 11 9 
283 800 773 10 9 
284 800 773 10 9 
285 809 778 10 9 
286 737 672 9 8 
287 700 655 9 8 
288 813 717 9 9 
289 823 691 10 9 
290 850 684 10 9 
291 859 712 10 9 
292 744 628 8 8 
293 753 628 8 8 
294 754 628 8 8 
295 744 641 8 8 
296 742 640 8 8 
297 738 641 8 8 
298 739 643 8 8 
299 742 643 8 8 
300 744 640 8 8 
301 741 638 8 8 
302 847 712 9 9 
303 742 654 8 8 
304 742 693 8 8 
305 666 639 7 7 
306 551 595 6 6 
307 548 610 6 6 
308 716 866 8 8 
309 534 761 6 6 
310 719 1094 8 8 
311 724 1187 8 8 
312 743 1296 8 8 
313 626 1180 7 7 
314 617 1248 7 7 
315 617 1248 7 7 
315 617 1248 7 7 
317 617 1248 7 7 
317 617 1248 7 7 
319 617 1248 7 7 
319 617 1248 7 7 
321 617 1248 7 7 
322 617 1248 7 7 
322 617 1248 7 7 
323 617 1248 7 7 
325 617 1248 7 7 
326 29 371 4 2 
326 29 371 4 2 
328 29 371 4 2 
328 29 371 4 2 
329 29 371 4 2 
331 29 371 4 2 
331 29 371 4 2 
332 29 371 4 2 
334 29 371 4 2 
334 29 371 4 2 
336 29 371 4 2 
336 29 371 4 2 
337 29 371 4 2 
338 29 371 4 2 
339 29 371 4 2 
340 29 371 4 2 
341 29 371 4 2 
343 29 371 4 2 
343 29 371 4 2 
345 0 0 0 0 
346 0 0 0 0 
347 0 0 0 0 
348 0 0 0 0 
349 0 0 0 0 
350 0 0 0 0 
351 0 0 0 0 
352 0 0 0 0 
353 0 0 0 0 
354 0 0 0 0 
355 0 0 0 0 
356 0 0 0 0 
357 0 0 0 0 
358 0 0 0 0 
359 0 0 0 0 
360 0 0 0 0 
361 0 0 0 0 
362 0 0 0 0 
363 0 0 0 0 
364 0 0 0 0 
365 0 0 0 0 
366 0 0 0 0 
367 0 0 0 0 
368 0 0 0 0 
369 0 0 0 0 
370 0 0 0 0 
371 0 0 0 0 
372 0 0 0 0 
373 0 0 0 0 
374 0 0 0 0 
375 0 0 0 0 
376 0 0 0 0 
377 0 0 0 0 
378 0 0 0 0 
379 0 0 0 0 
380 0 0 0 0 
381 0 0 0 0 
382 0 0 0 0 
