#Description#
#FrameIndex, index_x, index_y, Features, Sammed Features#
21 0 0 0 0 
22 0 0 0 0 
23 0 0 0 0 
24 0 0 0 0 
24 0 0 0 0 
26 0 0 0 0 
27 0 0 0 0 
27 0 0 0 0 
29 0 0 0 0 
30 0 0 0 0 
30 0 0 0 0 
32 0 0 0 0 
33 0 0 0 0 
33 0 0 0 0 
35 0 0 0 0 
36 0 0 0 0 
37 0 0 0 0 
38 0 0 0 0 
38 0 0 0 0 
40 0 0 0 0 
41 79 141 2 2 
42 75 140 6 6 
43 78 135 6 6 
44 80 131 6 6 
45 84 122 7 7 
46 82 117 9 9 
47 80 108 9 9 
48 78 96 8 8 
49 75 92 10 10 
50 78 89 9 9 
51 77 88 9 9 
52 77 87 9 9 
53 75 88 10 10 
54 78 88 9 9 
55 78 89 9 9 
56 79 89 9 9 
57 77 90 10 10 
58 77 90 10 10 
59 79 89 9 9 
60 82 91 8 8 
61 83 91 8 8 
62 80 90 9 9 
63 80 90 9 9 
64 81 93 8 8 
65 79 90 8 8 
66 79 91 9 9 
67 83 91 9 9 
68 89 90 9 9 
69 93 91 10 10 
70 98 90 10 10 
71 101 90 10 10 
72 106 89 9 9 
73 107 90 11 10 
74 113 90 9 9 
75 114 89 9 8 
76 113 90 8 8 
77 119 90 10 9 
78 121 90 8 8 
79 124 90 8 8 
80 124 92 7 7 
81 126 91 8 8 
82 132 91 7 7 
83 132 91 8 8 
84 133 92 7 7 
85 132 92 7 7 
86 132 92 7 7 
87 132 93 7 7 
88 128 92 6 6 
89 128 92 7 7 
90 124 92 7 7 
91 117 91 7 7 
92 112 89 8 8 
93 108 90 10 10 
94 100 89 11 11 
95 96 90 10 10 
96 91 87 8 8 
97 90 86 6 6 
98 85 87 7 7 
99 79 87 7 7 
100 76 85 6 6 
101 77 83 3 3 
102 64 87 5 5 
103 68 84 3 3 
104 0 0 1 0 
104 63 82 2 2 
106 58 90 2 2 
107 56 86 3 3 
107 59 96 2 2 
109 57 96 2 2 
110 57 93 3 3 
110 0 0 1 0 
112 52 90 2 2 
113 52 87 3 3 
113 0 0 0 0 
115 53 90 2 2 
116 57 90 4 4 
117 61 86 3 3 
118 66 89 5 5 
119 68 90 8 8 
120 77 90 8 8 
121 82 91 8 8 
122 89 94 10 10 
123 93 93 9 9 
124 88 92 10 10 
125 89 93 9 9 
126 86 94 10 10 
127 85 91 10 10 
128 89 89 8 8 
129 89 88 8 8 
130 87 82 9 9 
131 91 70 9 9 
132 87 66 9 9 
133 90 59 8 8 
134 92 51 7 7 
135 93 50 5 5 
136 93 50 3 3 
137 89 46 4 4 
137 93 48 3 3 
139 98 48 3 2 
140 89 47 4 4 
140 89 47 4 4 
142 89 48 4 4 
143 90 51 4 4 
144 87 59 4 4 
145 91 55 7 7 
146 89 62 6 6 
147 90 66 7 7 
148 87 75 8 8 
149 87 84 8 8 
150 87 87 6 6 
151 90 95 7 7 
152 85 98 7 7 
153 92 104 7 7 
154 98 108 6 6 
155 94 113 7 7 
156 88 120 8 8 
157 95 127 7 7 
158 89 129 6 6 
159 94 130 6 6 
160 93 133 6 6 
161 89 138 6 6 
162 90 140 6 6 
163 94 140 4 4 
164 95 141 4 4 
165 95 141 4 4 
166 95 142 4 4 
167 95 141 4 4 
168 98 140 5 5 
169 99 136 5 5 
170 91 128 5 5 
171 92 122 8 8 
172 91 112 7 7 
173 89 105 9 9 
174 87 97 9 9 
175 89 90 8 8 
176 89 91 8 8 
177 89 87 9 9 
178 91 88 8 8 
179 91 85 8 8 
