#Description#
#FrameIndex, index_x, index_y, Features, Sammed Features#
20 0 0 0 0 
22 0 0 0 0 
22 0 0 0 0 
23 0 0 0 0 
24 0 0 0 0 
25 0 0 0 0 
27 0 0 0 0 
27 0 0 0 0 
29 0 0 0 0 
29 0 0 0 0 
30 0 0 0 0 
32 0 0 0 0 
32 0 0 0 0 
34 0 0 0 0 
34 0 0 0 0 
35 0 0 0 0 
37 0 0 0 0 
38 0 0 0 0 
38 0 0 0 0 
39 0 0 0 0 
40 0 0 0 0 
41 0 0 0 0 
42 0 0 0 0 
44 0 0 0 0 
44 0 0 0 0 
46 0 0 0 0 
46 0 0 0 0 
47 0 0 0 0 
48 0 0 0 0 
50 0 0 0 0 
50 0 0 0 0 
51 0 0 0 0 
52 0 0 0 0 
54 0 0 0 0 
55 0 0 0 0 
55 0 0 0 0 
56 0 0 0 0 
57 0 0 0 0 
58 0 0 0 0 
60 0 0 0 0 
60 0 0 0 0 
62 0 0 0 0 
62 0 0 0 0 
64 393 847 6 5 
65 498 1112 7 7 
66 626 1267 8 8 
67 663 1231 8 8 
68 702 1217 8 8 
69 835 1343 9 9 
70 742 1184 8 8 
71 736 1150 8 8 
72 834 1240 9 9 
73 824 1191 9 9 
74 717 1056 8 8 
75 605 927 7 7 
76 791 1156 9 9 
77 733 1007 8 8 
78 736 972 8 8 
79 742 931 8 8 
80 761 894 8 8 
81 760 860 8 8 
82 646 744 7 7 
83 575 619 6 6 
84 569 601 6 6 
85 558 584 6 6 
86 626 656 7 7 
87 550 567 6 6 
88 549 561 6 6 
89 621 650 7 7 
90 549 553 6 6 
91 670 636 7 7 
92 673 634 7 7 
93 558 550 6 6 
94 558 544 6 6 
95 556 530 6 6 
96 557 510 6 6 
97 556 491 6 6 
98 556 437 6 6 
99 561 401 6 6 
100 563 371 6 6 
101 643 401 7 7 
102 690 370 7 7 
103 773 391 8 8 
104 858 396 9 9 
105 865 366 9 9 
106 785 313 8 8 
107 783 293 8 8 
108 771 267 8 8 
109 766 249 8 8 
110 795 233 9 8 
111 680 206 7 7 
112 679 196 7 7 
113 755 204 9 8 
114 785 197 8 8 
115 568 164 6 6 
116 567 162 6 6 
117 567 161 6 6 
118 672 175 7 7 
119 486 141 6 5 
120 783 188 8 8 
121 673 203 7 7 
122 678 225 7 7 
123 681 252 7 7 
124 838 342 9 9 
125 677 321 7 7 
126 826 441 9 9 
127 739 448 8 8 
128 733 481 8 8 
129 731 531 8 8 
130 543 425 6 6 
131 614 513 7 7 
132 656 525 7 7 
133 549 461 6 6 
134 628 555 7 7 
135 640 569 7 7 
136 694 577 7 7 
137 707 583 7 7 
138 714 587 7 7 
139 798 662 8 8 
140 718 589 7 7 
141 802 672 8 8 
142 713 590 7 7 
143 694 592 7 7 
144 671 593 7 7 
145 643 593 7 7 
146 670 671 8 8 
147 540 597 7 7 
148 607 674 8 8 
149 572 676 8 8 
150 451 595 7 7 
151 378 512 6 6 
152 398 595 7 7 
153 342 507 6 6 
154 365 591 7 7 
155 346 589 7 7 
156 329 589 7 7 
157 315 591 7 7 
158 280 507 6 6 
159 302 593 7 7 
160 292 594 7 7 
161 258 511 6 6 
162 278 597 7 7 
163 272 597 7 7 
164 270 596 7 7 
165 246 511 6 6 
166 246 513 6 6 
167 268 599 7 7 
168 304 587 7 7 
169 256 514 6 6 
170 301 599 7 7 
171 329 597 7 7 
172 361 597 7 7 
173 401 592 7 7 
174 434 593 7 7 
175 472 595 7 7 
176 514 603 7 7 
177 562 606 7 7 
178 818 762 9 9 
179 761 689 8 8 
180 907 764 9 9 
181 832 695 8 8 
182 866 701 8 8 
183 889 708 8 8 
184 905 716 8 8 
185 921 725 8 8 
186 939 728 8 8 
187 962 728 8 8 
188 990 727 8 8 
189 1018 726 8 8 
190 897 620 7 7 
191 1069 723 8 8 
192 936 606 7 7 
193 955 602 7 7 
194 968 606 7 7 
195 977 607 7 7 
196 822 523 6 6 
197 995 610 7 7 
198 1006 614 7 7 
199 1018 615 7 7 
200 1023 612 7 7 
201 1025 611 7 7 
202 861 524 6 6 
203 1031 614 7 7 
204 1032 614 7 7 
205 1032 614 7 7 
206 1032 613 7 7 
207 862 524 6 6 
208 848 520 6 6 
209 822 516 6 6 
210 943 602 7 7 
211 898 600 7 7 
212 998 703 8 8 
213 943 703 8 8 
214 881 708 8 8 
215 821 717 8 8 
216 771 727 8 8 
217 744 734 8 8 
218 741 743 8 8 
219 626 652 7 7 
220 627 646 7 7 
221 627 644 7 7 
222 630 644 7 7 
223 746 730 8 8 
224 674 637 7 7 
225 834 811 9 9 
226 744 735 8 8 
227 747 726 8 8 
228 749 721 8 8 
229 747 713 8 8 
230 744 711 8 8 
231 734 713 8 8 
232 728 704 9 8 
233 719 705 9 8 
234 715 715 9 8 
235 711 721 9 8 
236 591 636 8 7 
237 749 720 8 8 
238 580 552 6 6 
239 684 616 7 7 
240 578 544 6 6 
241 576 546 6 6 
242 459 466 5 5 
243 626 627 7 7 
244 742 719 8 8 
245 630 651 7 7 
246 628 648 7 7 
247 624 648 7 7 
248 624 641 7 7 
249 626 640 7 7 
250 626 640 7 7 
251 576 541 6 6 
252 685 602 7 7 
253 690 595 7 7 
254 816 757 9 9 
255 825 762 9 9 
256 722 693 8 8 
257 667 602 7 7 
258 730 692 8 8 
259 730 686 8 8 
260 731 678 8 8 
261 740 679 8 8 
262 864 746 9 9 
263 886 748 9 9 
264 873 741 9 9 
265 798 668 8 8 
266 789 670 8 8 
267 785 673 8 8 
268 780 664 8 8 
269 663 579 7 7 
270 773 642 8 8 
271 545 490 6 6 
272 546 494 6 6 
273 688 603 7 7 
274 574 512 6 6 
275 689 616 7 7 
276 829 678 8 8 
277 876 766 10 9 
278 585 519 8 6 
279 788 719 10 8 
280 798 723 9 8 
281 908 798 10 9 
282 885 782 11 9 
283 805 717 9 8 
284 815 707 8 8 
285 1007 887 11 10 
286 594 507 7 6 
287 707 584 9 7 
288 707 581 7 7 
289 788 690 8 8 
290 593 503 7 6 
291 672 588 7 7 
292 739 678 8 8 
293 572 506 6 6 
294 641 579 7 7 
295 694 555 7 7 
296 581 475 6 6 
297 708 538 7 7 
298 709 534 7 7 
299 707 536 7 7 
300 709 547 7 7 
301 823 631 8 8 
302 592 519 6 6 
303 588 564 6 6 
304 584 608 6 6 
305 581 654 6 6 
306 661 818 7 7 
307 775 991 8 8 
308 764 1059 8 8 
309 752 1110 8 8 
310 851 1278 9 9 
311 853 1312 9 9 
312 758 1214 8 8 
313 768 1252 8 8 
314 899 1446 9 9 
315 916 1486 9 9 
316 938 1522 9 9 
317 955 1557 9 9 
318 743 1207 7 7 
319 624 1055 6 6 
319 624 1055 6 6 
320 624 1055 6 6 
321 624 1055 6 6 
323 624 1055 6 6 
323 624 1055 6 6 
325 624 1055 6 6 
325 624 1055 6 6 
327 624 1055 6 6 
328 624 1055 6 6 
329 624 1055 6 6 
330 624 1055 6 6 
331 624 1055 6 6 
332 624 1055 6 6 
333 624 1055 6 6 
334 624 1055 6 6 
334 624 1055 6 6 
336 624 1055 6 6 
337 624 1055 6 6 
337 624 1055 6 6 
338 624 1055 6 6 
340 624 1055 6 6 
341 624 1055 6 6 
342 624 1055 6 6 
343 624 1055 6 6 
343 624 1055 6 6 
345 624 1055 6 6 
346 624 1055 6 6 
347 624 1055 6 6 
347 624 1055 6 6 
349 624 1055 6 6 
350 624 1055 6 6 
350 624 1055 6 6 
352 624 1055 6 6 
352 624 1055 6 6 
354 624 1055 6 6 
