#Description#
#FrameIndex, index_x, index_y, Features, Sammed Features, End Contrast, End Energie#
20 0 0 0 0 10 0 
22 0 0 0 0 10 0 
23 0 0 0 0 10 0 
23 0 0 0 0 10 0 
24 0 0 0 0 10 0 
27 0 0 0 0 10 0 
28 0 0 0 0 10 0 
29 0 0 0 0 10 0 
29 0 0 0 0 10 0 
30 0 0 0 0 10 0 
32 0 0 0 0 10 0 
34 0 0 0 0 10 0 
34 0 0 0 0 10 0 
36 0 0 0 0 10 0 
39 0 0 0 0 10 0 
40 477 823 5 5 10 0 
41 654 1149 7 7 10 0 
42 710 1244 8 8 10 0 
43 688 1202 8 8 10 0 
44 678 1162 8 8 10 0 
45 738 1222 9 9 10 0 
46 717 1017 8 8 10 0 
47 801 1095 9 9 10 0 
48 721 930 8 8 10 0 
49 616 794 7 7 10 0 
50 724 873 8 8 10 0 
51 700 839 8 8 10 0 
52 701 832 8 8 10 0 
53 700 826 8 8 10 0 
54 603 725 7 7 10 0 
55 708 808 8 8 10 0 
56 708 801 8 8 10 0 
57 718 801 8 8 10 0 
58 717 803 8 8 10 0 
59 817 890 9 9 10 0 
60 597 695 7 7 10 0 
61 692 766 8 8 10 0 
62 693 751 8 8 10 0 
63 586 620 7 7 10 0 
64 789 742 9 9 10 0 
65 788 726 9 9 10 0 
66 689 617 8 8 10 0 
67 690 597 8 8 10 0 
68 691 581 8 8 10 0 
69 693 554 8 8 10 0 
70 693 537 8 8 10 0 
71 694 525 8 8 10 0 
72 589 452 7 7 10 0 
73 695 489 8 8 10 0 
74 698 474 8 8 10 0 
75 697 458 8 8 10 0 
76 696 449 8 8 10 0 
77 695 431 8 8 10 0 
78 700 416 8 8 10 0 
79 804 437 9 9 10 0 
80 699 340 8 8 11.5 439271 
81 697 304 8 8 11.5 439271 
82 795 313 9 9 11.5 439271 
83 694 282 8 8 11.5 439271 
84 793 304 9 9 11.5 439271 
85 689 282 8 8 11.5 439271 
86 617 258 7 7 11.5 439271 
87 682 294 8 8 11.5 439271 
88 681 306 8 8 11.5 439271 
89 776 358 9 9 11.5 439271 
90 538 286 6 6 11.5 439271 
91 663 384 8 8 11.5 439271 
92 660 400 8 8 11.5 439271 
93 660 423 8 8 11.5 439271 
94 657 451 8 8 11.5 439271 
95 653 471 8 8 11.5 439271 
96 657 511 8 8 11.5 439271 
97 655 528 8 8 11.5 439271 
98 657 552 8 8 11.5 439271 
99 655 584 8 8 11.5 439271 
100 655 615 8 8 11.5 439271 
101 657 631 8 8 11.5 439271 
102 557 594 7 7 11.5 439271 
103 658 696 8 8 11.5 439271 
104 554 629 7 7 11.5 439271 
105 552 645 7 7 11.5 439271 
106 490 555 6 6 11.5 439271 
107 554 646 7 7 11.5 439271 
108 656 718 8 8 11.5 439271 
109 549 626 7 7 11.5 439271 
110 543 619 7 7 11.5 439271 
111 622 700 8 8 11.5 439271 
112 500 615 7 7 11.5 439271 
113 477 613 7 7 11.5 439271 
114 491 610 7 7 11.5 439271 
115 471 609 7 7 11.5 439271 
116 570 772 9 9 11.5 439271 
117 437 609 7 7 11.5 439271 
118 422 609 7 7 11.5 439271 
119 409 611 7 7 11.5 439271 
120 387 616 7 7 11.5 439271 
121 398 707 8 8 11.5 384509 
122 383 706 8 8 11.5 381450 
123 344 616 7 7 11.5 381450 
125 322 613 7 7 11.5 381450 
126 308 610 7 7 11.5 381450 
127 273 537 6 6 11.5 381450 
128 288 616 7 7 11.5 370074 
129 256 543 6 6 11.5 370074 
130 256 545 6 6 11.5 370074 
132 256 544 6 6 11.5 370074 
133 256 544 6 6 11.5 370074 
134 279 622 7 7 11.5 370074 
135 289 623 7 7 11.5 370074 
136 313 624 7 7 11.5 370074 
