#Description#
#FrameIndex, index_x, index_y, Features, Sammed Features#
21 0 0 0 0 
22 0 0 0 0 
23 0 0 0 0 
24 0 0 0 0 
25 0 0 0 0 
26 0 0 0 0 
27 0 0 0 0 
28 0 0 0 0 
29 0 0 0 0 
30 0 0 0 0 
31 0 0 0 0 
31 0 0 0 0 
32 0 0 0 0 
34 0 0 0 0 
35 0 0 0 0 
36 0 0 0 0 
36 0 0 0 0 
38 0 0 0 0 
39 0 0 0 0 
40 0 0 1 0 
41 267 464 3 3 
42 355 598 4 4 
43 517 861 6 6 
44 338 557 4 4 
45 507 799 6 6 
46 512 759 6 6 
47 630 860 7 7 
48 722 930 8 8 
49 657 788 7 7 
50 726 871 8 8 
51 635 740 7 7 
52 636 734 7 7 
53 636 727 7 7 
54 711 821 8 8 
55 713 816 8 8 
56 713 808 8 8 
57 717 802 8 8 
58 716 801 8 8 
59 715 801 8 8 
60 705 790 8 8 
61 695 775 8 8 
62 762 835 9 9 
63 693 703 8 8 
64 723 657 8 8 
65 620 573 7 7 
66 621 540 7 7 
67 624 519 7 7 
68 625 506 7 7 
69 628 482 7 7 
70 626 467 7 7 
71 628 456 7 7 
72 453 335 5 5 
73 457 328 5 5 
74 454 311 5 5 
75 457 310 5 5 
76 457 304 5 5 
77 453 285 5 5 
78 353 236 4 4 
79 377 229 4 4 
80 270 160 3 3 
81 351 180 4 4 
82 268 142 3 3 
83 269 139 3 3 
84 268 139 3 3 
85 0 0 2 0 
86 0 0 2 0 
87 263 144 3 3 
88 262 149 3 3 
89 343 193 4 4 
90 336 211 4 4 
91 437 263 5 5 
92 253 182 3 3 
93 350 232 4 4 
94 432 305 5 5 
95 331 263 4 4 
96 431 342 5 5 
97 528 408 6 6 
98 626 480 7 7 
99 527 448 6 6 
100 528 474 6 6 
101 593 552 7 7 
102 692 662 8 8 
103 594 608 7 7 
104 595 626 7 7 
105 591 640 7 7 
106 591 643 7 7 
107 592 641 7 7 
108 593 627 7 7 
109 589 620 7 7 
110 581 613 7 7 
111 564 610 7 7 
112 482 535 6 6 
113 407 434 5 5 
114 439 534 6 6 
115 375 432 5 5 
116 362 432 5 5 
117 276 357 4 4 
118 339 433 5 5 
119 203 270 3 3 
120 199 279 3 3 
121 255 353 4 4 
122 118 195 2 2 
123 175 271 3 3 
124 126 184 2 2 
125 165 270 3 3 
126 100 167 2 2 
127 0 0 2 0 
128 0 0 0 0 
129 0 0 1 0 
130 110 186 2 2 
131 110 186 2 2 
132 110 185 2 2 
133 110 185 2 2 
134 0 0 1 0 
135 0 0 1 0 
136 0 0 1 0 
137 104 171 2 2 
138 102 162 3 2 
139 250 358 4 4 
140 237 358 4 4 
141 244 386 4 4 
142 302 461 5 5 
143 458 596 7 7 
144 397 545 6 6 
145 408 546 6 6 
146 457 626 7 7 
147 363 441 5 5 
148 410 521 6 6 
149 369 443 5 5 
150 426 550 6 6 
151 533 629 7 7 
152 599 709 8 8 
153 538 635 7 7 
154 573 638 7 7 
155 585 640 7 7 
156 599 640 7 7 
157 608 643 7 7 
158 678 738 8 8 
159 694 742 8 8 
160 690 636 7 7 
161 801 723 8 8 
162 937 800 9 9 
163 833 723 8 8 
164 854 722 8 8 
165 866 722 8 8 
166 881 720 8 8 
167 894 719 8 8 
168 901 719 8 8 
169 917 719 8 8 
170 932 722 8 8 
171 937 723 8 8 
172 1041 801 9 9 
173 1045 801 9 9 
174 812 633 7 7 
175 813 635 7 7 
176 924 708 8 8 
177 1068 795 9 9 
178 1068 792 9 9 
179 1094 794 9 9 
